(havtob) a2019403475@nasp-cpu-02:~$ cat VGG19_PS_output_256bsz_3.txt 
Rank: 3, epoch: 0, batch_idx: 68, train-time: 6.628414154052734, com-time: 9.178303956985474, loss 2.3108956813812256, prec: 17.647058486938477, 
Rank: 3, epoch: 0, batch_idx: 69, train-time: 6.630722522735596, com-time: 9.225338220596313, loss 2.319141149520874, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 70, train-time: 6.6241233348846436, com-time: 9.230707168579102, loss 2.350395917892456, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 71, train-time: 6.635660409927368, com-time: 9.234997510910034, loss 2.3082196712493896, prec: 13.72549057006836, 
Rank: 3, epoch: 0, batch_idx: 72, train-time: 6.627524137496948, com-time: 9.26439642906189, loss 2.309246063232422, prec: 11.764705657958984, 
Rank: 3, epoch: 0, batch_idx: 73, train-time: 6.630645751953125, com-time: 9.246421337127686, loss 2.3181936740875244, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 74, train-time: 6.620494365692139, com-time: 9.16486144065857, loss 2.3768625259399414, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 75, train-time: 6.6373162269592285, com-time: 9.229007005691528, loss 2.3633816242218018, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 76, train-time: 6.628399848937988, com-time: 9.237661123275757, loss 2.376558303833008, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 77, train-time: 6.631075859069824, com-time: 9.220740795135498, loss 2.3283536434173584, prec: 13.72549057006836, 
Rank: 3, epoch: 0, batch_idx: 78, train-time: 6.621317625045776, com-time: 9.251344203948975, loss 2.3185250759124756, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 79, train-time: 6.631439208984375, com-time: 9.230491399765015, loss 2.321059226989746, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 80, train-time: 6.631994724273682, com-time: 9.256882667541504, loss 2.3194150924682617, prec: 13.72549057006836, 
Rank: 3, epoch: 0, batch_idx: 81, train-time: 6.637706995010376, com-time: 9.235367774963379, loss 2.315011501312256, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 82, train-time: 6.625758171081543, com-time: 9.258424997329712, loss 2.317525625228882, prec: 15.686274528503418, 
Rank: 3, epoch: 0, batch_idx: 83, train-time: 6.634475231170654, com-time: 9.23980188369751, loss 2.3648765087127686, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 84, train-time: 6.625181198120117, com-time: 9.24252963066101, loss 2.3516485691070557, prec: 3.9215686321258545, 
Rank: 3, epoch: 0, batch_idx: 85, train-time: 6.639110565185547, com-time: 9.256022214889526, loss 2.3633179664611816, prec: 3.9215686321258545, 
Rank: 3, epoch: 0, batch_idx: 86, train-time: 6.624957323074341, com-time: 9.243928670883179, loss 2.3610587120056152, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 87, train-time: 6.636932373046875, com-time: 9.215258121490479, loss 2.310150146484375, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 88, train-time: 6.625189304351807, com-time: 9.223483562469482, loss 2.301762819290161, prec: 11.764705657958984, 
Rank: 3, epoch: 0, batch_idx: 89, train-time: 6.630990266799927, com-time: 9.218922853469849, loss 2.333677291870117, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 90, train-time: 6.631919860839844, com-time: 9.236120462417603, loss 2.302812337875366, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 91, train-time: 6.632082939147949, com-time: 9.21924877166748, loss 2.3186748027801514, prec: 11.764705657958984, 
Rank: 3, epoch: 0, batch_idx: 92, train-time: 6.633152008056641, com-time: 9.21086072921753, loss 2.4012506008148193, prec: 11.764705657958984, 
Rank: 3, epoch: 0, batch_idx: 93, train-time: 6.634236574172974, com-time: 9.236808061599731, loss 2.342621088027954, prec: 9.803921699523926, 
Rank: 3, epoch: 0, batch_idx: 94, train-time: 6.626222372055054, com-time: 9.342551469802856, loss 2.3263723850250244, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 95, train-time: 6.63449764251709, com-time: 9.256478548049927, loss 2.3845055103302, prec: 1.9607843160629272, 
Rank: 3, epoch: 0, batch_idx: 96, train-time: 6.630383729934692, com-time: 9.252106666564941, loss 2.3335328102111816, prec: 5.882352828979492, 
Rank: 3, epoch: 0, batch_idx: 97, train-time: 6.638325214385986, com-time: 9.224050045013428, loss 2.3070526123046875, prec: 11.764705657958984, 
Rank: 3, epoch: 0, batch_idx: 98, train-time: 6.645662546157837, com-time: 9.241140127182007, loss 2.377830743789673, prec: 7.843137264251709, 
Rank: 3, epoch: 0, batch_idx: 99, train-time: 6.627989768981934, com-time: 9.223844766616821, loss 2.2689666748046875, prec: 17.647058486938477, 
Rank: 3, epoch: 0, batch_idx: 100, train-time: 6.642014265060425, com-time: 9.222965478897095, loss 2.320106267929077, prec: 7.843137264251709, 
